( data_0001 "UHenry Fynn ufake ubhememe wesigqoko esinompheme omude." )
( data_0002 "Inhlangano ethile yezemvelo iyophelelwa yisikhathi uma umhlaba ungasasetshenziselwa izinhloso zokongiwa kwemvelo." )
( data_0003 "Uma kunjalo umhlaba uyobalelwa njengokusebenza kwawo okusha kusukela ngosuku okwaqala ngalo." )
( data_0004 "Uma kunikezwe ngolwazi lomuntu siqu kule webhusayithi, abasebenzisi abafisa ukubuyekeza ulwazi lwabo bangenza lokho ngesicelo sokucela ukubuyekeza ngokusebenzisa ilinki yefeyisibhuku." )
( data_0005 "Sinesimemezelo esenziwe yilowo muntu esho ukuthi ngokwazi nangokukholwa kwakhe siyiqiniso." )
( data_0006 "Sinesimemezelo lapho esho khona ukuthi, usenze enolwazi lokuthi kungenzeka atholakale enecala, uma ebazi ukuthi akusilo iqiniso." )
( data_0007 "Isilandisostatemente leso sikhonjiswe omunye othintekayo kulolu daba, kusasele okungenani izinsuku eziyisikhombisa ngaphambi kosuku lokuphenywa kodaba." )
( data_0008 "Okuyogxilwa kakhulu kukho wukuxhumanisa izakhiwo ezahlukene zolimi nemisebenzi yokuqhuba umsebenzi wenhlangano ethile." )
( data_0009 "Kwenziwa ngenhloso yokuqinisa igalelo lokudidiyela nokusebenzisa ngendlela egculisayo izinsiza." )
( data_0010 "Noma ngubani ohlola noma olungisa imishini esetshenziswa ekuxhumaneni, ekuhloleni indlela yendiza, noma ukuhlola isimo ngaphakathi endizeni eyosebenza ngaphansi kohlelo oluthile, kufanele ayihlole ngendlela enqunywe wuMqulu wenhlangano yezokuhlola." )
( data_0011 "Ukuya emtholampilo wabakhulelwe, kwenza ukuthi abahlengikazi nodokotela bakwazi ukuthola kusenesikhathi uma kukhona inkinga." )
( data_0012 "Kubalula ukuthi basheshe bathole ezinye izifo ezingaqubuka ngesikhathi ukhulelwe." )
( data_0013 "Lezi yizifo ezifana noshukela, ukugijima kakhulu komfutho wegazi, ingculazi, izifo ezithathelana ngocansi, nokunye." )
( data_0014 "Abahlongoza ukuthumela impahla ngaphandle kwezwe, kumele bangene engosini ethile ye-inthanethi." )
( data_0015 "Lapha bazothola uhlelo lwe-inthanethi ngayo yonke inqubo yokuthumela impahla ngaphandle kwezwe." )
( data_0016 "Kukhona nomunye udokotela esinolwazi ngaye." )
( data_0017 "Wathola sona lesi sifo sofuba emsebenzini wakhe wokwelapha, kumbe ezibhedlela zethu." )
( data_0018 "Kwaholela ekutheni angabe esezwa ngezindlebe zakhe." )
( data_0019 "Owesifazane washonelwa wumyeni wakhe." )
( data_0020 "Wenqaba ukulandela indlela yokuzila ebekwe ezweni lakubo." )
( data_0021 "Bathi achinse ikhambi elibizwa ngemogaga, lapho ezohamba khona uma ephuma egcekeni lakwakhe." )
( data_0022 "UMhloli-mabhuku-Jikelele watomula isifundazwe saKwazulu-Natali." )
( data_0023 "Yiso sodwa isifundazwe lapho iminyango eminingi ihambisana nemigomo yokubika ngemisebenzi yomphakathi." )
( data_0024 "Uthi ulwazi esilufaka emibikweni yonyaka iyasebenziseka." )
( data_0025 "Kungethenjelwa kuyo, futhi ihambisana nemigomo ebekiwe." )
( data_0026 "Sindi Opperman awunaso isifo egazini lakho." )
( data_0027 "Kufanele uphinde ubuye emva kwezinyanga ezintathu, ngizolihlola ukuze ngibe nesiqiniseko esigcwele sokuthi uyaphila." )
( data_0028 "Iyoba nomsebenzi wokuqhamuka nemibono efanele ukuthi ivezwe enhlanganweni ethile." )
